0.100, 2.994109E-10
0.200, 5.568326E-10
0.300, 5.22892E-10
0.400, 9.568054E-08
0.500, 6.775635E-08
0.600, 1.983923E-07
0.700, 5.303097E-11
0.800, 5.468795E-08
0.900, 3.553131E-08
1.000, 4.970179E-07
1.100, 1.534864E-06
1.200, 1.257168E-06
1.300, 5.440803E-07
1.400, 1.929547E-06
1.500, 2.555697E-06
1.600, 3.17006E-06
1.700, 4.916154E-06
1.800, 6.881673E-06
1.900, 1.065274E-05
2.000, 1.319596E-05
2.100, 2.302767E-05
2.200, 3.706238E-05
2.300, 4.396784E-05
2.400, 4.909269E-05
2.500, 5.054121E-05
2.600, 5.127765E-05
2.700, 6.249623E-05
2.800, 7.015573E-05
2.900, 7.394682E-05
3.000, 8.128404E-05
3.100, 8.352264E-05
3.200, 8.308682E-05
3.300, 8.27634E-05
3.400, 8.403687E-05
3.500, 8.704441E-05
3.600, 9.768242E-05
3.700, 9.95126E-05
3.800, 0.0001001705
3.900, 0.0001211065
4.000, 0.0001722377
4.100, 0.0001931585
4.200, 0.0002010917
4.300, 0.0002199171
4.400, 0.0002226869
4.500, 0.0002236605
4.600, 0.0002262051
4.700, 0.0002267587
4.800, 0.00022501
4.900, 0.000224467
5.000, 0.0002240271
5.100, 0.0002206928
5.200, 0.0002208931
5.300, 0.0002159759
5.400, 0.0002162304
5.500, 0.0002162008
5.600, 0.0002166441
5.700, 0.000216019
5.800, 0.0002046694
5.900, 0.000200074
6.000, 0.0001988142
6.100, 0.0002150879
6.200, 0.0002225414
6.300, 0.0002103835
6.400, 0.0002097302
6.500, 0.0002084415
6.600, 0.0002146281
6.700, 0.0002199842
6.800, 0.0002200899
6.900, 0.0002215585
7.000, 0.000223989
7.100, 0.0002352814
7.200, 0.0002408458
7.300, 0.0002503121
7.400, 0.0002571697
7.500, 0.0002585763
7.600, 0.0002591134
7.700, 0.0002637108
7.800, 0.0002693339
7.900, 0.0002802791
8.000, 0.0002956631
8.100, 0.0003016284
8.200, 0.000308248
8.300, 0.0003297761
8.400, 0.000338518
8.500, 0.0003416156
8.600, 0.0003710739
8.700, 0.0003870815
8.800, 0.0003841826
8.900, 0.00039327
9.000, 0.0003949298
9.100, 0.0003938202
9.200, 0.0004056174
9.300, 0.0004150736
9.400, 0.0004217212
9.500, 0.0004219318
9.600, 0.0004197236
9.700, 0.0004188617
9.800, 0.0004259957
9.900, 0.0004602648
10.000, 0.0004686583
